"code","name","coordinates__latitude","coordinates__longitude","address"
"AAF","Academic Advisement - Farrior Hall","29.6502323","-82.34563860000002","100 Fletcher Dr, Gainesville, FL 32611, United States"
"AGRL","Plant Pathology Research Lab 2","","",""
"AND","Anderson Hall","29.6515682","-82.3418895","1507 W University Ave, Gainesville, FL 32611, United States"
"ANS","Animal Sciences","29.6311971","-82.351627","Gainesville, FL 32608, United States"
"ANSC","Animal/Dairy Science Building","","",""
"ARB","Academic Research - Health Sciences Center","29.6399441","-82.343777","1600 SW Archer Rd, Gainesville, FL 32610, United States"
"ARCH","Architecture","29.6477756","-82.3403431","1389 Stadium Rd, Gainesville, FL 32611, United States"
"ASF","Elmore Hall","29.6434801","-82.3661789","Elmore Hall for Administrative Services, Gainesville, FL 32607, USA"
"AUD","University Auditorium","29.6490269","-82.3428428","333 Newell Dr, Gainesville, FL 32611, United States"
"AWAX","Aquatic Weed Annex","","",""
"BAR","Bartram Hall","29.6439198","-82.34440939999999","Bartram Hall, Gainesville, FL 32603, USA"
"BEC","Beaty Commons","29.6441511","-82.3404853","Gainesville, FL 32603, United States"
"BEN","Benton Hall","29.6436325","-82.3549302","Gainesville, FL 32611, United States"
"BGH","Bruton-Geer Hall","29.6492321","-82.3590286","Bruton-Geer Hall, Gainesville, FL 32603, USA"
"BLK","Black Hall - Environmental Science","29.6484088","-82.3484143","365 Weil Hall, Gainesville, FL 32611, United States"
"BME","Broad Biomedical Engineering Building","28.5663939","-82.3775697","919 N Broad St, Brooksville, FL 34601, United States"
"BMS","Biomedical Sciences","29.6406329","-82.3455827","1275 Center Dr, Gainesville, FL 32611, United States"
"BRO","Broward Hall","29.6465352","-82.3420708","Broward Hall, 680 Broward Dr, Gainesville, FL 32603, USA"
"BRT","Bryant Space Science Center","29.6488872","-82.34574870000002","Gainesville, FL 32603, United States"
"BRY","Bryan Hall","29.65131189999999","-82.3402381","1384 Union Rd, Gainesville, FL 32611, United States"
"BSU","Veterinary Medicine - Basic Sciences","40.0929927","-88.22091189999999","2001 S Lincoln Ave, Urbana, IL 61802, United States"
"CABL","Course viewed only on cable TV","","",""
"CAR","Carleton Auditorium","29.6490716","-82.34172290000001","1475 Union Rd, Gainesville, FL 32611, United States"
"CBD","Classroom Building 105","29.6529864","-82.3429757","Classroom Bldg 105, Gainesville, FL 32603, USA"
"CGRC","Cancer/Genetics Research","29.6381861","-82.3516905","2033 Mowry Rd, Gainesville, FL 32608, United States"
"CHE","Chemical Engineering","29.6436325","-82.3549302","Gainesville, FL 32611, United States"
"CLB","Chemistry Laboratory Building","29.6508873","-82.344152","125 Buckman Dr, Gainesville, FL 32611, United States"
"COM","Communicore - Health Sciences Center","29.6399441","-82.343777","1600 SW Archer Rd, Gainesville, FL 32610, United States"
"CON","Constans Theatre","29.6460125","-82.346482","687 McCarty Dr, Gainesville, FL 32603, United States"
"CREC","Citrus Hall, Ben Hill Griffin","","",""
"CRR","Carr Hall","29.6436325","-82.3549302","Gainesville, FL 32611, United States"
"CSFL","Crops and Soils Field Lab","","",""
"CSE","Computer Science Engineering","29.64811109999999","-82.344042","432 Newell Dr, Gainesville, FL 32611, United States"
"DAU","Dauer Hall - Arts & Sciences","29.64926969999999","-82.3439549","Gainesville, FL 32603, United States"
"DSB","Dental Science Building","41.662549","-91.55115090000001","Dental Science Bldg, Iowa City, IA 52242, USA"
"ESL","Environmental Stress Lab","29.6354601","-82.3646433","Gainesville, FL 32608, United States"
"EYN","Entomology - Nematology","29.63483320000001","-82.3673518","1881 Natural Area Dr, Gainesville, FL 32608, United States"
"FAA","Fine Arts A","29.6477756","-82.3403431","1389 Stadium Rd, Gainesville, FL 32611, United States"
"FAB","Fine Arts B (Gallery)","29.6482567","-82.3396763","400 SW 13th St, Gainesville, FL 32611, United States"
"FAC","Fine Arts C","29.6477604","-82.34041909999999","Gainesville, FL 32601, United States"
"FAD","Fine Arts D","29.6481722","-82.3405634","101 Fine Arts Bldg A, Gainesville, FL 32611, United States"
"FIF","Fifield Hall","29.63838730000001","-82.36116679999999","Fifield Hall, Gainesville, FL 32603, USA"
"FIRL","Plant Pathology Research Lab 1","30.5450208","-84.5928081","155 Research Rd, Quincy, FL 32351, United States"
"FLAV","Flavet Field","29.6466255","-82.3543578","Woodlawn Dr, Gainesville, FL 32603, United States"
"FLG","Florida Gym","29.64951450000001","-82.34724109999999","Florida Gymnasium, Gainesville, FL 32608, USA"
"FLI","Keene-Flint Hall","29.6513768","-82.34405009999999","80 Newell Dr, Gainesville, FL 32611, United States"
"FLO","Griffin-Floyd Hall","29.6500715","-82.34367999999999","230 Newell Dr, Gainesville, FL 32611, United States"
"FSN","Food Science and Human Nutrition","29.6436325","-82.3549302","Gainesville, FL 32611, United States"
"GER","Gerson Hall","29.65075890000001","-82.3401306","1368 Union Rd, Gainesville, FL 32611, United States"
"GRAO","Graham Hall","29.6458103","-82.3502568","United States"
"GRI","Grinter Hall - The Graduate School","29.6492787","-82.34205949999999","1523 Union Rd, Gainesville, FL 32611, United States"
"HARN","Harn Museum of Art","29.6370616","-82.3702266","3259 Hull Rd, Gainesville, FL 32607, United States"
"HCAD","Health Science Center Admin. Services","30.3470314","-81.6635251","653 W 8th St, Jacksonville, FL 32209, United States"
"HDC","Human Development Center","46.8013063","-92.0818267","1401 E 1st St, Duluth, MN 55805, United States"
"HGS","Hough Hall","29.6504049","-82.3406662","Hough Hall, Gainesville, FL 32611, USA"
"HOL","Holland Law Center","29.6498009","-82.35915059999999","Spessard L. Holland Law Center, Gainesville, FL 32603, USA"
"HPNP","Health Professions, Nursing and Pharmacy Complex","29.6416764","-82.3452497","Health Professions, Nursing, Pharmacy Bldg, 1225 Center Dr, Gainesville, FL 32603, USA"
"HTUS","South Barn - Sam Wall Animal Science","","",""
"HUB","The Hub - International Studies Center","29.6480995","-82.34548769999999","Hub, 1765 Stadium Rd, Gainesville, FL 32603, United States"
"HUME","Hume Hall","29.644475","-82.3525058","Museum Rd, Gainesville, FL 32601, United States"
"IBLC","Institute of Black Culture","29.652285","-82.3421446","1510 W University Ave, Gainesville, FL 32603, United States"
"IHLC","Institute of Hispanic-Latino Cultures","29.6436325","-82.3549302","Gainesville, FL 32611, United States"
"IIT","IFAS Information Technology","29.6465201","-82.3443187","Gainesville, FL 32603, United States"
"INF","Infirmary","29.6495392","-82.34652009999999","Fletcher Dr, Gainesville, FL 32603, United States"
"JENB","Jennings Hall B","29.6444873","-82.34155299999999","1515 Museum Rd, Gainesville, FL 32612, United States"
"KEY","Keys Complex - Student Housing","29.64918299999999","-82.33802899999999","1231 SW 3rd Ave, Gainesville, FL 32601, United States"
"LAR","Larsen Hall","29.6431067","-82.34738279999999","Larsen Hall, Gainesville, FL 32603, USA"
"LBW","Library West","29.6508246","-82.3417565","1545 W University Ave, Gainesville, FL 32603, United States"
"LEI","Leigh Hall","29.6504567","-82.3442503","Leigh Hall, Gainesville, FL 32603, USA"
"LIT","Little Hall","29.648841","-82.3407919","Stadium Rd, Gainesville, FL 32601, United States"
"LSP","Livestock Pavilion, Webb","29.6339886","-82.3511053","United States"
"MAE","Materials Engineering","29.6476334","-82.3490228","Gainesville, FL 32603, United States"
